address,in_cluster_with_risky,max_daily_tx_count,small_transfer_count,idle_days,contract_interactions_count,time_since_last_tx,token_diversity,token_holdings_count,balance_eth,tx_count,tx_in_count,tx_out_count,avg_tx_value,max_tx_value,activity_days,label,is_mixer
0xf738d0b7e34d7b5a63d8e0ccfa25a0d9d4271816,0,5.0,3.0,2.0,0,168082545.0,0.0,0.8106952996091936,2.0,3.0,3.0,2,0.8106953,2.0,-1.0,Dodgy,False
0x5fc2d416388fd1c07ae7e4a10b79a498eb4383c0,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x29356f085ed17c96b7d1c8a20d1ee79e616d75bc,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0xe159a6d174eb2cead94c4fb93725fbf68a87993d,0,3.0,2.0,1.0,0,193350050.0,0.0,1.3332808333333332,1.9998425,2.0,2.0,1,1.33328083,1.9998425,-1.0,Dodgy,False
0x7b904df207858b9a4fcd0d9538ef633bed316287,0,3.0,1.0,2.0,0,204316841.0,0.0,1.310692,1.987916,1.0,1.0,2,1.310692,1.987916,-1.0,Dodgy,False
0xa4c14cc3b9b9d6ecbe11a9c8720326270656dbb7,0,9.0,7.0,2.0,0,193358881.0,0.0,0.0813249846888888,0.2685,3.0,7.0,2,0.10456069,0.2685,-1.0,Dodgy,False
0x2784574e2405a7d3be1259b5f00412ae652018f4,0,13.0,12.0,1.0,0,198535573.0,1.0,2.7371107775225303,17.790789553896445,3.0,12.0,1,2.73711078,17.79078955,-1.0,Dodgy,False
0x915c95415d3449212fd0991ccf5eb42864118ec9,0,37.0,34.0,3.0,6,229874382.0,0.0,1.2586390216216217,21.69583051,3.0,34.0,3,1.25863902,21.69583051,-1.0,Dodgy,False
0x59cbd436237318f7cb9c92ddb060b1a023598363,0,9.0,7.0,2.0,0,191219320.0,0.0,3.803338754444445,9.05,2.0,7.0,2,4.2787561,9.05,-1.0,Dodgy,False
0xa87149fc85936e6807222fb211162d5be440a930,0,2.0,1.0,1.0,0,196136096.0,0.0,1.045,1.09,1.0,1.0,1,1.045,1.09,-1.0,Dodgy,False
0x2189b1eea27f1d19bc2c61d991068ec947d8ec7b,0,7.0,2.0,5.0,0,170517026.0,0.0,0.3821381392857143,1.27240958,6.0,2.0,5,0.38213814,1.27240958,-1.0,Dodgy,False
0x760774022517950fc1874b66cc71a83752f2fa89,0,2.0,1.0,1.0,0,191869746.0,0.0,0.999803125,1.0,1.0,1.0,1,0.99980313,1.0,-1.0,Dodgy,False
0xcdea1b9b05e383f13028551e934ecc65208a65b7,1,27.0,15.0,12.0,0,158176533.0,2.0,1.1023472172831783,3.95,25.0,15.0,12,1.10234722,3.95,-1.0,Dodgy,False
0x7c99f9cc14994f4b0d2e8cdcfda4811bbfb69a57,0,4.0,2.0,2.0,0,203482245.0,0.0,0.04777293625,0.094,3.0,2.0,2,0.04777294,0.094,-1.0,Dodgy,False
0x32c648164d27a2fe26329bb0cff5c379cd1178f9,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0xaba49b563feed7f617ae2fcff86c3a6e8821c387,0,6.0,5.0,0.0,2,125543932.0,0.0,0.0118333333333333,0.04,4.0,5.0,0,0.01775,0.04,-1.0,Dodgy,False
0xcda94feb23fbf1c4ca73b45de92e1a4cc2bd40ab,1,209.0,143.0,66.0,6,132165151.0,7.0,0.3632495883169498,14.63,172.0,143.0,66,0.37033739,14.63,-1.0,Dodgy,False
0xa6f75494c0fcde3a6abbf4c313103bd5759d3e71,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
